Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price,Transmission(Speed)
Hyundai,Grand i10 Nios,2022,blue,hatchback,4305.0,1,5,petrol,37,1.2 L Kappa Petrol,1197,Manual,81.86,113.75,20.07,BS IV,749000,5
Ford,EcoSport,2017,bronze,suv,43112.0,1,5,diesel,52,1.5L DV5 (Diesel),1498,Manual,99.0,205.0,22.7,BS IV,619000,5
Volkswagen,Polo,2015,grey,hatchback,53807.0,1,5,diesel,45,TDI Diesel Engine,1498,Manual,88.0,230.0,20.18,BS V,547000,5
Hyundai,Elite i20,2015,silver,hatchback,37837.0,1,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,Manual,82.0,115.0,18.6,BS IV,579000,5
Renault,Triber,2019,white,muv,11074.0,1,7,petrol,40,1.0L Petrol Engine,999,Manual,71.0,96.0,20.0,BS IV,686000,5
Maruti Suzuki,Baleno,2017,blue,hatchback,15748.0,1,5,petrol,37,1.2L VVT Engine,1197,Manual,81.8,113.0,21.01,BS V,679000,5
Maruti Suzuki,Ritz,2015,red,hatchback,14593.0,1,5,petrol,43,inline 4 cylinder petrol engine,1197,Manual,85.0,113.0,18.5,BS IV,400000,5
Maruti Suzuki,Ciaz,2015,white,sedan,30228.0,1,5,petrol,43, K 14B VVT,1373,Automatic,91.0,130.0,19.12,BS IV,612000,4
MG Motors,Hector Plus,2020,black,suv,44897.0,1,6,petrol,60,1.5 Litre Turbochaged Petrol Engine,1451,Automatic,141.0,250.0,11.67,BS IV,1644000,6
Maruti Suzuki,Wagon R 1.0,2013,grey,hatchback,55995.0,1,5,petrol,35,K Series Petrol Engine,998,Manual,67.1,90.0,18.9,BS V,342000,5
Tata,Altroz,2021,grey,hatchback,9936.0,1,5,petrol,37,1.2 L Revotron,1199,Manual,84.82,113.0,19.05,BS IV,790000,5
Hyundai,Eon,2017,red,hatchback,18790.0,1,5,petrol,32,Kappa Engine,814,Manual,68.05,94.14,20.03,BS IV,360000,5
Maruti Suzuki,Alto 800,2015,red,hatchback,64323.0,1,5,petrol,35,F8D,796,Manual,47.3,69.0,22.74,BS III,276000,5
Hyundai,i10,2013,red,hatchback,32849.0,1,5,petrol,35,Kappa Petrol Engine,1197,Manual,78.9,111.7,20.36,BS III,352000,5
Maruti Suzuki,Alto 800,2020,red,hatchback,22777.0,1,5,petrol,35,F8D Petrol Engine,796,Manual,47.33,69.0,22.05,BS IV,363000,5
Hyundai,i10,2013,white,hatchback,37652.0,1,5,petrol,35,4 cylinder inline petrol engine,1086,Manual,68.05,99.04,19.81,BS III,333000,5
Hyundai,Elite i20,2016,red,hatchback,93446.0,1,5,diesel,45,U2 CRDI Diesel Engine,1396,Automatic,88.73,219.7,22.54,BS IV,589000,6
Renault,Kiger,2022,blue,suv,11031.0,1,5,petrol,40,1.0L Energy,999,Manual,71.0,96.0,19.17,BS IV,735000,5
Maruti Suzuki,Swift,2021,white,hatchback,9752.0,1,5,petrol,37,VTVT Engine,1197,Manual,81.8,113.0,21.21,BS IV,790000,5
Maruti Suzuki,Vitara Brezza,2019,red,suv,15418.0,1,5,diesel,48,Front Wheel Drive,1248,Manual,89.0,200.0,24.3,BS V,1117000,5
Maruti Suzuki,Swift,2020,grey,hatchback,8249.0,1,5,petrol,37,VTVT Engine,1197,Manual,81.8,113.0,21.21,BS IV,660000,5
Hyundai,Grand i10 Nios,2021,blue,hatchback,10514.0,1,5,petrol,37,1.2 L Kappa Petrol,1197,Manual,81.86,113.75,20.7,BS IV,678000,5
Honda,City,2019,silver,sedan,24136.0,2,5,petrol,40,i VTEC Engine,1497,Manual,117.6,145.0,17.4,BS IV,857000,5
Renault,Kwid,2019,blue,hatchback,18638.0,1,5,petrol,28,Petrol Engine,999,Manual,67.0,91.0,22.0,BS IV,483000,5
Hyundai,Eon,2013,red,hatchback,93653.0,2,5,petrol,32,Kappa Engine,814,Manual,68.05,94.14,20.03,BS IV,248000,5
Jeep,Compass,2017,black,suv,60049.0,1,5,diesel,60,2.0-Litre 4-Cyl Multijet,1956,Automatic,170.0,350.0,17.1,BS IV,1500000,6
Maruti Suzuki,Dzire,2019,brown,sedan,31330.0,2,5,petrol,37,1.2 Litre Petrol Engine,1499,Manual,88.5,113.0,24.12,BS V,759000,5
Hyundai,i10,2012,red,hatchback,49014.0,2,5,petrol,35,Kappa Petrol Engine,1197,Manual,78.9,111.7,20.36,BS III,336000,5
Maruti Suzuki,Ciaz,2015,silver,sedan,56221.0,1,5,petrol,43,k14B VVT Engine,1373,Manual,91.1,130.0,20.73,BS IV,677000,5
Maruti Suzuki,Baleno,2017,blue,hatchback,20894.0,1,5,petrol,37,1.2L VVT Engine,1197,Manual,81.8,113.0,21.01,BS V,711000,5
Hyundai,Creta,2016,grey,suv,88735.0,2,5,diesel,60,U2 VGT CRDi,1596,Manual,126.0,265.0,17.01,BS IV,1099000,6
Hyundai,Creta,2016,grey,suv,88735.0,2,5,diesel,60,U2 VGT CRDi,1582,Manual,126.0,265.0,17.01,BS IV,1099000,6
Renault,Kiger,2021,white,suv,9034.0,1,5,petrol,40,1.0L Energy,1298,Automatic,99.0,152.0,20.53,BS IV,1078000,5
Maruti Suzuki,Celerio,2014,silver,hatchback,63746.0,3,5,petrol,35,K10B,998,Automatic,67.04,90.0,23.1,BS IV,348000,5
Hyundai,Elite i20,2016,white,hatchback,85602.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,659000,5
Hyundai,Verna,2013,purple,sedan,59054.0,2,5,petrol,43,Front Wheel Drive,1591,Automatic,121.0,158.0,17.01,BS III,501000,5
Renault,Duster,2017,white,suv,50811.0,1,5,diesel,50,dCi THP Diesel Engine,1461,Manual,108.45,245.0,19.6,BS V,1013000,6
Kia,Seltos,2020,silver,suv,38198.0,1,5,petrol,50,Smartstream G1.4 T-GDi,1353,Manual,138.0,242.0,16.8,BS IV,1741000,7
Maruti Suzuki,Ciaz,2018,silver,sedan,92118.0,1,5,petrol,43,k14B VVT Engine,1373,Manual,91.1,130.0,20.73,BS IV,829000,4
Hyundai,Xcent,2014,white,sedan,72801.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,82.0,114.0,19.1,BS IV,496000,5
Hyundai,Eon,2014,grey,hatchback,38592.0,2,5,petrol,32,Petrol Engine,1798,Manual,55.2,74.5,21.1,BS IV,269000,5
Honda,City,2019,brown,sedan,22379.0,1,5,petrol,40,i VTEC Engine,1497,Manual,117.6,145.0,17.4,BS IV,927000,5
Maruti Suzuki,Wagon R 1.0,2016,silver,hatchback,44822.0,2,5,petrol,32,K10B Petrol Engine,998,Manual,67.05,90.0,21.79,BS V,451000,5
Renault,Kwid,2021,white,hatchback,13069.0,1,5,petrol,28,Petrol Engine,1298,Automatic,67.0,91.0,22.0,BS IV,532000,5
Maruti Suzuki,Wagon R 1.0,2011,brown,hatchback,96939.0,1,5,petrol,35,K Series Petrol Engine,998,Manual,67.1,90.0,18.9,BS V,338000,5
Mahindra,XUV500,2015,silver,suv,71397.0,2,7,diesel,70,4 cylinder mHawk CRDe diesel engine,2179,Manual,140.0,330.0,16.0,BS IV,1032000,6
Hyundai,New Santro 1.1,2019,beige,hatchback,21903.0,1,5,petrol,35,1.1 L Petrol,1086,Manual,68.07,99.07,20.3,BS IV,557000,5
Hyundai,Grand i10,2020,grey,hatchback,9468.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Automatic,81.86,113.75,18.9,BS V,653000,5
Honda,City,2018,brown,sedan,60209.0,1,5,petrol,40,i VTEC Engine,1497,Manual,117.6,145.0,17.4,BS IV,898000,5
Renault,Duster,2016,orange,suv,69658.0,1,5,diesel,50,dCi THP Diesel Engine,1461,Manual,108.45,245.0,19.6,BS V,912000,6
Hyundai,Elite i20,2015,white,hatchback,81103.0,1,5,diesel,45,U2 CRDI Diesel Engine,1396,Manual,88.73,219.7,22.54,BS IV,642000,6
Renault,Triber,2020,blue,muv,57503.0,1,7,petrol,40,1.0L Petrol Engine,999,Manual,71.0,96.0,20.0,BS IV,651000,5
Maruti Suzuki,Celerio,2018,silver,hatchback,45560.0,1,5,petrol,35,K10B,998,Automatic,67.0,90.0,23.1,BS IV,503000,5
Maruti Suzuki,A-Star,2012,silver,hatchback,45008.0,2,5,petrol,35,K10B,998,Automatic,67.0,90.0,16.98,BS IV,330000,4
Maruti Suzuki,Swift,2011,grey,hatchback,51210.0,2,5,petrol,43,In-Line Engine,1197,Manual,85.0,113.0,16.1,BS IV,395000,5
Hyundai,Creta,2017,silver,suv,44894.0,1,5,diesel,60,U2 VGT CRDi,1582,Manual,126.0,265.0,17.01,BS IV,1235000,6
Maruti Suzuki,S-Cross,2015,white,suv,39515.0,1,5,diesel,48,DDiS 200,1248,Automatic,89.0,200.0,23.65,BS V,808000,5
Hyundai,Grand i10,2015,silver,hatchback,54287.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,82.0,114.0,18.9,BS IV,458000,5
Hyundai,Verna,2013,white,sedan,91039.0,1,5,petrol,43,Front Wheel Drive,1591,Automatic,121.0,158.0,17.01,BS III,514000,5
Honda,Amaze,2015,grey,sedan,49435.0,1,5,petrol,35,i-VTEC Petrol Engine,1198,Manual,86.7,109.0,18.0,BS IV,512000,5
Honda,City,2021,white,sedan,12092.0,1,5,petrol,40,1.5L i-VTEC Petrol Engine,1498,Manual,119.3,145.0,18.4,BS IV,1346000,6
Maruti Suzuki,Baleno,2019,blue,hatchback,27053.0,1,5,petrol,37,1.2L VVT Engine,1596,Manual,81.8,113.0,21.01,BS V,844000,5
Maruti Suzuki,Baleno,2019,blue,hatchback,27053.0,1,5,petrol,37,1.2L VVT Engine,1197,Manual,81.8,113.0,21.01,BS V,844000,5
Maruti Suzuki,Dzire,2017,blue,sedan,28833.0,1,5,petrol,37,1.2 Litre Petrol Engine,1696,Automatic,88.5,113.0,24.12,BS V,789000,5
Honda,Jazz,2016,red,hatchback,48606.0,2,5,petrol,40,1.2 i-VTEC Petrol,1199,Manual,88.51,110.0,16.6,BS IV,570000,5
Maruti Suzuki,Baleno,2016,red,hatchback,96236.0,1,5,petrol,37,1.2L VVT Engine,1197,Manual,81.8,113.0,21.01,BS V,639000,5
Maruti Suzuki,Swift Dzire,2012,silver,sedan,37258.0,1,5,petrol,42,K Series VVT Engine,1197,Manual,85.8,114.0,19.1,BS IV,470000,5
Maruti Suzuki,Celerio,2014,silver,hatchback,33869.0,1,5,petrol,35,K10B,998,Automatic,67.04,90.0,23.1,BS IV,454000,5
Maruti Suzuki,Ertiga,2013,silver,muv,91796.0,1,7,petrol,45,K-Series Petrol Engine with VVT,1373,Manual,93.7,130.0,16.02,BS III,618000,5
Tata,Tiago,2019,grey,hatchback,45607.0,1,5,petrol,35,Revotron Engine,1199,Automatic,84.0,114.0,23.84,BS V,548000,5
Hyundai,Grand i10 Nios,2021,grey,hatchback,1117.0,1,5,petrol,37,1.2 L Kappa Petrol,1197,Manual,81.86,113.75,20.7,BS IV,710000,5
Hyundai,Grand i10,2018,blue,hatchback,24745.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Automatic,81.86,113.75,18.9,BS V,621000,5
Hyundai,Creta,2017,red,suv,66868.0,1,5,diesel,60,U2 VGT CRDi,1596,Manual,126.0,265.0,17.01,BS IV,1290000,6
Hyundai,Creta,2017,red,suv,66868.0,1,5,diesel,60,U2 VGT CRDi,1582,Manual,126.0,265.0,17.01,BS IV,1290000,6
Honda,WR-V,2017,red,suv,75639.0,1,5,petrol,40,i-VTEC Petrol engine,1199,Manual,88.5,110.0,16.5,BS IV,748000,5
Chevrolet,Beat,2013,blue,hatchback,77022.0,1,5,diesel,35,XSDE Smartech,936,Manual,58.0,150.0,25.44,BS IV,267000,5
Renault,Kwid,2018,bronze,hatchback,56387.0,1,5,petrol,28,Petrol Engine,799,Manual,53.3,72.0,25.17,BS V,368000,5
Hyundai,Venue,2019,red,suv,23724.0,1,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,Manual,118.35,171.6,18.15,BS V,1137000,7
Maruti Suzuki,Celerio,2022,grey,hatchback,6900.0,1,5,petrol,35,K10B Engine,998,Manual,67.04,90.0,21.63,BS IV,699000,5
Maruti Suzuki,Celerio,2017,grey,hatchback,43785.0,1,5,petrol,35,K10B,998,Automatic,67.04,90.0,23.1,BS IV,544000,5
Honda,Amaze,2019,white,sedan,29780.0,1,5,diesel,35,i-DTEC,1199,Manual,79.0,160.0,21.0,BS IV,982000,5
Maruti Suzuki,Baleno,2015,blue,hatchback,56207.0,1,5,petrol,37,1.2L VVT Engine,1197,Manual,81.8,113.0,21.01,BS V,611000,5
Maruti Suzuki,Vitara Brezza,2016,yellow,suv,40003.0,1,5,diesel,48,DDiS 200 Diesel Engine,1248,Automatic,88.5,200.0,24.3,BS V,941000,5
Hyundai,i20,2014,silver,hatchback,94315.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,82.85,113.7,18.5,BS IV,534000,5
Maruti Suzuki,Celerio,2018,grey,hatchback,29492.0,1,5,petrol,35,K10B,998,Automatic,67.04,90.0,23.1,BS IV,584000,5
Maruti Suzuki,Ciaz,2017,grey,sedan,21365.0,1,5,petrol,43,k14B VVT Engine,1373,Manual,91.1,130.0,20.73,BS IV,827000,5
Ford,Figo,2019,red,hatchback,31262.0,1,5,diesel,40,TDCi Diesel Engine,1596,Manual,98.96,215.0,24.4,BS V,681000,5
Ford,Figo,2019,red,hatchback,31262.0,1,5,diesel,40,TDCi Diesel Engine,1499,Manual,98.96,215.0,24.4,BS V,681000,5
Honda,Jazz,2017,red,hatchback,56221.0,1,5,petrol,40,i-VTEC Petrol Engine,1199,Automatic,88.7,110.0,18.7,BS V,580000,5
Hyundai,Grand i10 Nios,2021,grey,hatchback,27185.0,1,5,petrol,37,1.2 L Kappa Petrol,1197,Manual,81.86,113.75,20.07,BS IV,746000,5
Honda,Amaze,2014,red,sedan,63170.0,2,5,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,Manual,86.9,109.0,18.0,BS IV,452000,5
Tata,Nano GenX,2015,purple,hatchback,44736.0,1,5,petrol,24,"2 cylinder, MPFI, Gasoline",624,Manual,37.0,51.0,23.6,BS IV,239000,4
Renault,Kwid,2019,grey,hatchback,13111.0,1,5,petrol,28,Petrol Engine,999,Manual,67.0,91.0,23.01,BS V,453000,5
Ford,Figo,2016,grey,hatchback,83705.0,1,5,diesel,40,TDCi,1498,Manual,99.0,215.0,25.83,BS V,521000,5
Renault,Triber,2021,white,muv,7227.0,1,7,petrol,40,1.0L Petrol Engine,999,Manual,71.0,96.0,20.0,BS IV,780000,5
Hyundai,Verna,2014,white,sedan,45880.0,1,5,petrol,43,Front Wheel Drive,1582,Automatic,121.0,158.0,17.01,BS III,694000,5
Maruti Suzuki,Ciaz,2015,white,sedan,36850.0,1,5,petrol,43,k14B VVT Engine,1373,Manual,91.1,130.0,20.73,BS IV,698000,5
Maruti Suzuki,Swift,2011,silver,hatchback,53160.0,1,5,petrol,43,In-Line Engine,1197,Manual,85.0,113.0,16.1,BS IV,426000,5
Honda,City,2021,white,sedan,17790.0,1,5,petrol,40,i VTEC Engine,1497,Manual,117.6,145.0,17.4,BS IV,989000,5
Honda,City,2020,white,sedan,24218.0,1,5,petrol,40,i VTEC Engine,1497,Manual,117.6,145.0,17.4,BS IV,940000,5
Hyundai,Grand i10,2017,red,hatchback,11304.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Automatic,81.86,113.75,18.9,BS V,556000,5
Tata,Altroz,2021,grey,hatchback,12002.0,1,5,diesel,37,1.5 L Turbocharged Revotorq,1497,Manual,89.0,200.0,23.0,BS IV,785000,5
Mahindra,XUV 300,2020,black,suv,61411.0,1,5,diesel,42,1.5L Turbo Diesel,1497,Manual,115.0,300.0,20.0,BS IV,1077000,6
Hyundai,Grand i10,2014,grey,hatchback,35703.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,82.0,114.0,18.9,BS IV,464000,5
Hyundai,Xcent,2017,grey,sedan,45378.0,1,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,Manual,81.86,113.75,20.14,BS V,589000,5
Hyundai,Xcent,2017,grey,sedan,45378.0,1,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,Manual,81.86,113.75,20.14,BS V,589000,5
Hyundai,Grand i10,2018,grey,hatchback,28557.0,2,5,petrol,43,Kappa VTVT Petrol Engine,1197,Automatic,81.86,113.75,18.9,BS V,574000,5
Maruti Suzuki,Celerio,2021,white,hatchback,14853.0,1,5,petrol,35,K10B Engine,998,Manual,67.04,90.0,21.63,BS IV,655000,5
Maruti Suzuki,Ciaz,2020,silver,sedan,70245.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1462,Manual,103.25,138.0,20.65,BS IV,920000,5
Maruti Suzuki,Eeco,2020,grey,muv,22703.0,1,5,petrol,40,Aluminium 32 bit,1197,Manual,72.42,98.0,16.11,BS IV,488000,5
Renault,Kwid,2020,blue,hatchback,36069.0,1,5,petrol,28,Petrol Engine,1298,Automatic,67.0,91.0,22.0,BS IV,548000,5
Maruti Suzuki,Wagon R 1.0,2016,silver,hatchback,5227.0,1,5,petrol,32,K10B Petrol Engine,998,Manual,67.05,90.0,21.79,BS V,528000,5
Maruti Suzuki,Celerio,2017,grey,hatchback,27803.0,1,5,petrol,35,K10B,998,Automatic,67.04,90.0,23.1,BS IV,527000,5
Honda,City,2017,white,sedan,47154.0,1,5,petrol,40,i VTEC Engine,1497,Automatic,117.6,145.0,17.4,BS V,952000,5
Honda,Brio,2012,silver,hatchback,84488.0,1,5,petrol,35,4 cylinder inline petrol,1198,Manual,86.8,109.0,19.4,BS III,340000,5
Volkswagen,Jetta,2014,brown,sedan,83265.0,2,5,diesel,55,4 cylinder inline,1596,Manual,138.0,320.0,19.33,BS IV,790000,5
Volkswagen,Jetta,2014,brown,sedan,83265.0,2,5,diesel,55,4 cylinder inline,1968,Manual,138.0,320.0,19.33,BS IV,790000,5
Honda,Amaze,2018,brown,sedan,16348.0,1,5,petrol,35,i-VTEC Petrol Engine,1199,Manual,88.76,110.0,18.3,BS IV,765000,5
Hyundai,i20,2012,white,hatchback,90078.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,82.85,113.0,18.5,BS IV,420000,5
Honda,WR-V,2018,grey,suv,69591.0,3,5,diesel,40,i-DTEC Diesel engine,1498,Manual,97.89,200.0,23.7,BS IV,800000,6
Hyundai,i20,2013,blue,hatchback,56096.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,82.85,113.0,18.5,BS IV,486000,5
Mahindra,XUV500,2017,white,suv,56418.0,1,7,diesel,70,4 cylinder mHawk CRDe diesel engine,2179,Manual,140.0,330.0,16.0,BS IV,1465000,6
Hyundai,i10,2012,grey,hatchback,65284.0,1,5,petrol,35,Kappa Petrol Engine,1197,Manual,78.9,111.7,20.36,BS III,348000,5
Chevrolet,Cruze,2015,grey,sedan,72489.0,1,5,diesel,60,VCDi 16V SOHC,1991,Automatic,164.0,380.0,14.81,BS IV,892000,6
Volkswagen,Polo,2011,silver,hatchback,68645.0,2,5,petrol,45,MPI Petrol Engine,1198,Manual,73.9,110.0,16.47,BS IV,451000,5
Hyundai,Eon,2018,blue,hatchback,33231.0,2,5,petrol,32,Kappa Engine,814,Manual,68.05,94.14,20.03,BS IV,403000,5
Hyundai,i10,2011,beige,hatchback,43953.0,1,5,petrol,35,Kappa Petrol Engine,1197,Manual,78.9,111.7,20.36,BS III,338000,5
Ford,EcoSport,2016,grey,suv,36422.0,1,5,petrol,52,1.5L Ti-VCT (Petrol),1499,Automatic,110.0,140.0,16.5,BS IV,806000,6
Maruti Suzuki,Ciaz,2015,red,sedan,78251.0,1,5,petrol,43,k14B VVT Engine,1373,Manual,91.1,130.0,20.73,BS IV,634000,5
Hyundai,Elite i20,2016,red,hatchback,48481.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,654000,5
Maruti Suzuki,Ciaz,2018,blue,sedan,37746.0,1,5,petrol,43,k14B VVT Engine,1373,Manual,91.1,130.0,20.73,BS IV,882000,4
Hyundai,Creta,2017,silver,suv,50872.0,1,5,petrol,60,Petrol Dual VTVT,1591,Manual,122.0,154.0,15.29,BS IV,1196000,6
Hyundai,Elite i20,2015,grey,hatchback,25517.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,669000,5
Ford,EcoSport,2014,silver,suv,74814.0,2,5,petrol,52,1.5L Ti-VCT (Petrol),1499,Manual,109.0,140.0,15.8,BS III,589000,5
Tata,Harrier,2020,red,suv,24315.0,1,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,Manual,138.0,350.0,17.0,BS IV,1912000,6
Hyundai,Elite i20,2017,blue,hatchback,63937.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,628000,5
Maruti Suzuki,Dzire,2019,white,sedan,11499.0,1,5,petrol,37,1.2 Litre Petrol Engine,1197,Automatic,88.5,113.0,23.26,BS V,812000,5
Maruti Suzuki,Ciaz,2018,white,sedan,15221.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1462,Manual,103.25,138.0,20.65,BS IV,914000,4
Mahindra,Scorpio,2017,black,suv,46438.0,1,7,diesel,60,4 cylinder mHawk CRDe diesel engine,2179,Manual,120.0,280.0,15.4,BS IV,1112000,5
Maruti Suzuki,Baleno,2018,orange,hatchback,27941.0,1,5,diesel,37,DDiS 200,1248,Manual,74.0,190.0,27.39,BS V,810000,5
Hyundai,Grand i10,2014,grey,hatchback,35461.0,2,5,petrol,43,Kappa VTVT Petrol Engine,1197,Automatic,82.0,114.0,18.9,BS IV,530000,4
Maruti Suzuki,Ritz,2012,white,hatchback,46447.0,1,5,diesel,43,Multijet/DDis,1248,Manual,75.0,190.0,15.6,BS IV,455000,5
Maruti Suzuki,Swift Dzire,2013,grey,sedan,74652.0,1,5,petrol,42,K Series VVT Engine,1197,Manual,85.8,114.0,19.1,BS IV,498000,5
Maruti Suzuki,Wagon R 1.0,2013,beige,hatchback,44746.0,1,5,petrol,35,K Series Petrol Engine,998,Manual,67.1,90.0,18.9,BS V,403000,5
Hyundai,i10,2014,grey,hatchback,92092.0,1,5,petrol,35,4 cylinder inline petrol engine,1197,Manual,68.0,99.08,19.81,BS III,380000,5
Toyota,Yaris,2020,red,sedan,26653.0,2,5,petrol,42,1.5 Dual VVT-i Engine,1596,Manual,105.94,140.0,18.1,BS IV,1092000,5
Toyota,Yaris,2020,red,sedan,26653.0,2,5,petrol,42,1.5 Dual VVT-i Engine,1496,Manual,105.94,140.0,18.1,BS IV,1092000,5
Hyundai,Grand i10,2014,blue,hatchback,58748.0,2,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,82.0,114.0,18.9,BS IV,457000,5
Hyundai,Creta,2016,beige,suv,90147.0,1,5,petrol,60,Petrol Dual VTVT,1591,Manual,122.0,154.0,15.29,BS IV,813000,6
Hyundai,Fluidic Verna 4S,2017,grey,sedan,25905.0,1,5,petrol,43,1.6L Gamma VTVT 5 Speed Manual Transmission,1591,Manual,121.0,158.0,17.4,BS IV,820000,5
Hyundai,Xcent,2014,black,sedan,76890.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,82.0,114.0,19.1,BS IV,502000,5
Maruti Suzuki,Alto 800,2020,silver,hatchback,32490.0,1,5,petrol,35,F8D Petrol Engine,796,Manual,47.3,69.0,22.05,BS IV,414000,5
Maruti Suzuki,Alto 800,2019,red,hatchback,13505.0,1,5,petrol,35,F8D Petrol Engine,796,Manual,47.3,69.0,24.7,BS V,391000,5
Maruti Suzuki,Alto 800,2021,silver,hatchback,21564.0,1,5,petrol,35,F8D Petrol Engine,796,Manual,47.33,69.0,22.05,BS IV,433000,5
Maruti Suzuki,Alto 800,2018,grey,hatchback,22849.0,1,5,petrol,35,F8D Petrol Engine,796,Manual,47.3,69.0,22.0,BS V,372000,5
Maruti Suzuki,Alto K10,2016,white,hatchback,24374.0,1,5,petrol,35,K10B,998,Manual,67.0,90.0,24.07,BS V,384000,5
Hyundai,Elite i20,2018,white,hatchback,31912.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,784000,5
Hyundai,Creta,2016,red,suv,60578.0,1,5,petrol,60,Petrol Dual VTVT,1591,Manual,122.0,154.0,15.29,BS IV,971000,6
Hyundai,Elite i20,2016,red,hatchback,95065.0,1,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,Manual,82.0,115.0,18.6,BS IV,655000,5
Renault,Kwid,2022,white,hatchback,7342.0,1,5,petrol,28,Petrol Engine,1298,Automatic,67.0,91.0,22.0,BS IV,539000,5
Renault,Kwid,2021,blue,hatchback,9285.0,1,5,petrol,28,1.0L	,1298,Automatic,67.0,91.0,21.7,BS IV,470000,5
Hyundai,Elite i20,2017,grey,hatchback,41443.0,1,5,diesel,45,U2 CRDI Diesel Engine,1396,Manual,88.73,219.7,22.54,BS IV,790000,6
Maruti Suzuki,Celerio,2015,silver,hatchback,53848.0,2,5,petrol,35,K10B,998,Automatic,67.04,90.0,23.1,BS IV,415000,5
Maruti Suzuki,Ritz,2012,silver,hatchback,70568.0,2,5,petrol,45,KB Series,1197,Manual,85.0,113.0,18.5,BS IV,368000,5
Maruti Suzuki,Swift Dzire,2012,black,sedan,61885.0,1,5,petrol,42,K Series VVT Engine,1197,Manual,85.8,114.0,19.1,BS IV,457000,5
Honda,WR-V,2019,grey,suv,16240.0,1,5,petrol,40,i-VTEC Petrol engine,1199,Manual,88.5,110.0,16.5,BS IV,894000,5
Hyundai,i10,2011,red,hatchback,62840.0,1,5,petrol,35,DOHC Kappa2 Engine,1197,Manual,78.9,111.8,20.36,BS III,338000,5
Hyundai,i10,2011,grey,hatchback,74710.0,2,5,petrol,35,DOHC Kappa2 Engine,1197,Manual,78.9,111.8,20.36,BS III,342000,5
Renault,Duster,2021,grey,suv,19722.0,1,5,petrol,50,1.5L Petrol,1498,Manual,104.55,142.0,16.42,BS IV,986000,5
Renault,Duster,2014,silver,suv,85751.0,1,5,diesel,50,1.5 dCI K9K HP Diesel engine,1461,Manual,84.0,200.0,20.45,BS III,637000,5
Hyundai,Elite i20,2016,white,hatchback,73251.0,1,5,diesel,45,"16 Valves, 4 Cylinder",1396,Manual,89.0,220.0,22.54,BS IV,688000,6
Hyundai,Elite i20,2018,orange,hatchback,44188.0,1,5,diesel,45,"16 Valves, 4 Cylinder",1396,Automatic,89.0,220.0,22.54,BS V,816000,6
Ford,Figo,2019,red,hatchback,45590.0,1,5,diesel,40,TDCi Diesel Engine,1596,Manual,98.96,215.0,24.4,BS V,644000,5
Ford,Figo,2019,red,hatchback,45590.0,1,5,diesel,40,TDCi Diesel Engine,1499,Manual,98.96,215.0,24.4,BS V,644000,5
Hyundai,Creta,2016,blue,suv,97039.0,1,5,diesel,60,U2 VGT CRDi,1596,Manual,126.0,265.0,17.01,BS IV,1086000,6
Hyundai,Creta,2016,blue,suv,97039.0,1,5,diesel,60,U2 VGT CRDi,1582,Manual,126.0,265.0,17.01,BS IV,1086000,6
Hyundai,Elite i20,2016,silver,hatchback,14359.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,674000,5
