Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price,Transmission(Speed)
Maruti Suzuki,Ignis,2018,red,hatchback,57286.0,1,5,petrol,32,1.2-Litre VVT Petrol Engine,1197,Manual,81.8,113.0,20.89,BS V,554000,5
Tata,Punch,2022,white,suv,3679.0,1,5,petrol,37,1.2 Revotron,1199,Automatic,84.0,113.0,18.9,BS IV,829000,6
Hyundai,Elite i20,2014,white,hatchback,96077.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,530000,5
Maruti Suzuki,Alto K10,2017,grey,hatchback,30406.0,1,5,petrol,35,K10B,998,Manual,67.0,90.0,24.07,BS V,367000,5
Hyundai,Grand i10,2018,grey,hatchback,60873.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,81.86,113.75,18.9,BS V,550000,5
Maruti Suzuki,Ignis,2018,blue,hatchback,24811.0,1,5,petrol,32,1.2-Litre VVT Petrol Engine,1197,Manual,81.8,113.0,20.89,BS V,660000,5
Hyundai,New i20,2021,red,hatchback,56275.0,1,5,petrol,37,1.0 l Turbo GDi,998,Automatic,118.0,172.0,20.2,BS IV,998000,7
Hyundai,Verna,2018,silver,sedan,78981.0,1,5,diesel,43,Front Wheel Drive,1582,Automatic,126.0,260.0,24.75,BS V,1012000,6
Honda,City,2021,silver,sedan,7434.0,1,5,petrol,40,1.5L i-VTEC DOHC with VTC Petrol Engine,1498,Automatic,119.35,145.0,17.0,BS IV,1537000,7
Hyundai,New i20,2021,blue,hatchback,10730.0,1,5,petrol,37,1.2 l Kappa petrol,1197,Manual,82.0,115.0,21.0,BS IV,908000,5
Renault,Kwid,2019,bronze,hatchback,21996.0,1,5,petrol,28,Petrol Engine,999,Manual,67.0,91.0,22.0,BS V,508000,5
Maruti Suzuki,S-Presso,2019,blue,hatchback,3474.0,1,5,petrol,27,K10B Petrol Engine,998,Manual,67.0,90.0,21.7,BS IV,417000,5
Maruti Suzuki,Dzire,2017,brown,sedan,64458.0,1,5,diesel,37, DDiS Diesel Engine,1248,Manual,74.0,190.0,28.4,BS V,725000,5
Hyundai,New i20,2020,white,hatchback,24360.0,1,5,petrol,37,1.0 l Turbo GDi,998,Automatic,118.0,172.0,20.2,BS IV,980000,6
Mahindra,TUV300,2017,blue,suv,69939.0,1,7,diesel,60, mHawk,1493,Manual,100.0,240.0,18.49,BS V,796000,5
Hyundai,i10,2016,silver,hatchback,35387.0,1,5,petrol,35,4 cylinder inline petrol engine,1197,Manual,68.0,99.08,19.81,BS III,435000,5
Maruti Suzuki,Baleno,2015,blue,hatchback,63035.0,2,5,petrol,37,1.2L VVT Engine,1197,Manual,81.8,113.0,21.01,BS V,554000,5
Maruti Suzuki,Eeco,2020,silver,muv,26190.0,1,5,petrol,40,Aluminium 32 bit,1197,Manual,72.42,98.0,16.11,BS IV,481000,5
Maruti Suzuki,Swift,2013,white,hatchback,47013.0,1,5,petrol,42,K Series Petrol Engine,1197,Manual,85.8,114.0,18.6,BS IV,442000,5
Hyundai,Grand i10,2019,grey,hatchback,11734.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,81.86,113.75,18.9,BS V,530000,5
Maruti Suzuki,Dzire,2018,blue,sedan,27902.0,1,5,petrol,37,1.2 Litre Petrol Engine,1499,Manual,88.5,113.0,24.12,BS V,759000,5
Hyundai,Xcent,2015,blue,sedan,66674.0,2,5,petrol,43,1.2 Kappa Dual VTVT Petrol,1197,Manual,81.0,114.0,19.1,BS IV,455000,5
Tata,Harrier,2021,black,suv,38143.0,1,5,diesel,50,2.0 L Kryotec,1956,Automatic,140.0,350.0,17.0,BS IV,1972000,6
Maruti Suzuki,Ciaz,2021,grey,sedan,13554.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1462,Automatic,103.25,138.0,20.0,BS IV,1138000,4
Tata,Altroz,2022,red,hatchback,1540.0,1,5,petrol,37,1.2 L Revotron,1199,Automatic,84.82,113.0,19.05,BS IV,920000,6
Hyundai,Creta,2021,black,suv,12285.0,1,5,petrol,50,1.4L GDi Turbo Petrol,1353,Automatic,138.0,242.2,16.8,BS IV,1742000,7
Maruti Suzuki,Baleno,2015,blue,hatchback,80408.0,1,5,petrol,37,1.2L VVT Engine,1197,Manual,81.8,113.0,21.01,BS V,568000,5
Maruti Suzuki,Wagon R 1.0,2016,white,hatchback,83377.0,1,5,petrol,32,K10B Petrol Engine,998,Manual,67.05,90.0,21.79,BS V,419000,5
Renault,Kwid,2020,bronze,hatchback,21887.0,1,5,petrol,28,Petrol Engine,999,Manual,67.0,91.0,22.0,BS IV,476000,5
Hyundai,Grand i10,2019,grey,hatchback,40498.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,81.86,113.75,18.9,BS V,577000,5
Hyundai,New Santro 1.1,2020,white,hatchback,18065.0,1,5,petrol,35,1.1 L Petrol,1086,Manual,68.07,99.07,20.3,BS IV,541000,5
Volkswagen,Vento,2016,grey,sedan,70958.0,1,5,petrol,55,TSI Engine,1197,Automatic,103.0,175.0,18.19,BS V,730000,7
Tata,Harrier,2021,white,suv,16090.0,1,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,Automatic,138.0,350.0,17.0,BS IV,1875000,6
Ford,EcoSport,2015,grey,suv,55617.0,2,5,petrol,52,1.5L Ti-VCT (Petrol),1499,Automatic,109.0,140.0,16.5,BS III,622000,6
Hyundai,Verna,2018,brown,sedan,87773.0,1,5,diesel,43,Front Wheel Drive,1582,Automatic,121.0,158.0,24.75,BS V,937000,6
Hyundai,i20 Active,2016,brown,crossover,54744.0,1,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,Manual,82.0,115.0,17.19,BS V,625000,5
Hyundai,Grand i10,2020,grey,hatchback,18915.0,2,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,81.86,113.75,18.9,BS V,609000,5
Hyundai,Elite i20,2016,white,hatchback,97573.0,1,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,Manual,82.0,115.0,18.6,BS IV,571000,5
Renault,Kwid,2019,grey,hatchback,4776.0,1,5,petrol,28,Petrol Engine,799,Manual,53.3,72.0,25.17,BS V,412000,5
Hyundai,i20 Active,2018,white,crossover,24676.0,2,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,Manual,82.0,115.0,17.19,BS V,638000,5
Maruti Suzuki,S-Cross,2018,blue,suv,52291.0,2,5,diesel,48,DDiS 200,1248,Manual,89.0,200.0,23.65,BS V,807000,5
Hyundai,Elite i20,2017,white,hatchback,49775.0,2,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,Manual,82.0,115.0,18.6,BS IV,590000,5
Maruti Suzuki,S-Cross,2017,brown,suv,83551.0,1,5,diesel,48,DDiS 200,1248,Manual,89.0,200.0,23.65,BS V,651000,5
Hyundai,i20 Active,2018,brown,crossover,34075.0,2,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,Manual,82.0,115.0,17.19,BS V,694000,5
Honda,City,2020,brown,sedan,14414.0,1,5,petrol,40,1.5L i-VTEC DOHC with VTC Petrol Engine,1498,Automatic,119.35,145.0,18.4,BS IV,1364000,6
Ford,EcoSport,2018,brown,suv,35796.0,1,5,petrol,52,Ti-VCT Petrol Engine,1496,Manual,120.69,149.0,15.9,BS IV,783000,5
Maruti Suzuki,Swift,2020,red,hatchback,38199.0,2,5,petrol,37,VTVT Engine,1197,Manual,81.8,113.0,21.21,BS IV,628000,5
Nissan,Magnite,2021,silver,suv,8197.0,1,5,petrol,40,1.0L HRAO Turbo,999,Manual,99.0,160.0,20.0,BS IV,885000,5
Hyundai,Xcent,2014,blue,sedan,48106.0,1,5,petrol,43,1.2 Kappa Dual VTVT Petrol,1197,Manual,81.0,114.0,19.1,BS IV,470000,5
Maruti Suzuki,Ciaz,2021,grey,sedan,12031.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1499,Manual,103.25,138.0,20.65,BS IV,1085000,5
Maruti Suzuki,Celerio,2021,grey,hatchback,5992.0,1,5,petrol,35,K10B Engine,998,Manual,67.04,90.0,21.63,BS IV,620000,5
Volkswagen,Polo,2020,red,hatchback,20427.0,1,5,petrol,45,1.0L MPI Petrol,999,Manual,75.1,95.0,17.74,BS IV,659000,5
Tata,Altroz,2022,red,hatchback,8560.0,1,5,petrol,37,1.2 L Revotron,1199,Manual,108.0,140.0,18.1,BS IV,953000,5
Hyundai,Creta,2019,red,suv,58693.0,1,5,petrol,55,VTVT Petrol Engine,1591,Automatic,121.3,151.0,15.8,BS V,1173000,6
Maruti Suzuki,S-Presso,2020,grey,hatchback,18282.0,1,5,petrol,27,K10B Petrol Engine,998,Manual,67.0,90.0,21.7,BS IV,457000,5
Maruti Suzuki,S-Presso,2020,grey,hatchback,17214.0,1,5,petrol,27,K10B Petrol Engine,998,Manual,67.0,90.0,21.7,BS IV,461000,5
Maruti Suzuki,Swift,2013,red,hatchback,77692.0,1,5,diesel,43,DDiS Diesel Engine,1248,Manual,74.0,190.0,22.9,BS IV,471000,5
Maruti Suzuki,Ciaz,2020,white,sedan,10381.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1462,Manual,103.25,138.0,20.65,BS IV,902000,5
Honda,WR-V,2017,silver,suv,28831.0,1,5,petrol,40,i-VTEC Petrol engine,1199,Manual,88.5,110.0,16.5,BS IV,791000,5
Toyota,Etios,2014,grey,sedan,72359.0,1,5,petrol,45,4 cylinder petrol engine,1496,Manual,90.0,132.0,17.57,BS IV,506000,5
